currency_code,exchange_rate,change,unit,last_update,report_date
USD,2.918,0.0685871056241426,1,2026-05-18T12:23:03.6059592Z,2026-05-20
GBP,3.898,0.1541623843782117,1,2026-05-18T12:23:03.6059592Z,2026-05-20
JPY,1.8365,-0.1793673225350581,100,2026-05-18T12:23:03.6059592Z,2026-05-20
EUR,3.3954,0.0913834271733042,1,2026-05-18T12:23:03.6059592Z,2026-05-20
AUD,2.0878,0.0095803793830235,1,2026-05-18T12:23:03.6059592Z,2026-05-20
CAD,2.1235,0.1320318762672702,1,2026-05-18T12:23:03.6059592Z,2026-05-20
DKK,0.4543,0.0881251376955276,1,2026-05-18T12:23:03.6059592Z,2026-05-20
NOK,0.314,0.2874480996486745,1,2026-05-18T12:23:03.6059592Z,2026-05-20
ZAR,0.175,-0.1141552511415525,1,2026-05-18T12:23:03.6059592Z,2026-05-20
SEK,0.3097,0.1617076326002587,1,2026-05-18T12:23:03.6059592Z,2026-05-20
CHF,3.7152,0.1050844717484439,1,2026-05-18T12:23:03.6059592Z,2026-05-20
JOD,4.1161,0.0924057097001677,1,2026-05-18T12:23:03.6059592Z,2026-05-20
LBP,0.0003,0.0,10,2026-05-18T12:23:03.6059592Z,2026-05-20
EGP,0.0547,-0.7259528130671506,1,2026-05-18T12:23:03.6059592Z,2026-05-20
USD,2.918,0.0685871056241426,1,2026-05-18T12:23:03.6059592Z,2026-05-20
GBP,3.898,0.1541623843782117,1,2026-05-18T12:23:03.6059592Z,2026-05-20
JPY,1.8365,-0.1793673225350581,100,2026-05-18T12:23:03.6059592Z,2026-05-20
EUR,3.3954,0.0913834271733042,1,2026-05-18T12:23:03.6059592Z,2026-05-20
AUD,2.0878,0.0095803793830235,1,2026-05-18T12:23:03.6059592Z,2026-05-20
CAD,2.1235,0.1320318762672702,1,2026-05-18T12:23:03.6059592Z,2026-05-20
DKK,0.4543,0.0881251376955276,1,2026-05-18T12:23:03.6059592Z,2026-05-20
NOK,0.314,0.2874480996486745,1,2026-05-18T12:23:03.6059592Z,2026-05-20
ZAR,0.175,-0.1141552511415525,1,2026-05-18T12:23:03.6059592Z,2026-05-20
SEK,0.3097,0.1617076326002587,1,2026-05-18T12:23:03.6059592Z,2026-05-20
CHF,3.7152,0.1050844717484439,1,2026-05-18T12:23:03.6059592Z,2026-05-20
JOD,4.1161,0.0924057097001677,1,2026-05-18T12:23:03.6059592Z,2026-05-20
LBP,0.0003,0.0,10,2026-05-18T12:23:03.6059592Z,2026-05-20
EGP,0.0547,-0.7259528130671506,1,2026-05-18T12:23:03.6059592Z,2026-05-20
